Age,Income,YearsWorked,Credible
44,2957,22,0
37,2537,10,0
55,3742,32,0
27,2296,8,1
37,2623,10,1
64,4265,37,0
30,1724,5,0
29,2002,5,0
28,2072,5,1
46,3307,18,1
21,1213,0,0
38,2476,2,0
25,1802,0,1
32,1998,14,0
31,2024,3,0
17,1514,1,1
53,3461,36,0
23,1588,1,0
34,2344,16,0
25,1792,1,1
21,1658,4,1
57,3696,33,0
37,2317,4,0
54,3994,38,1
64,4574,33,1
37,2710,15,1
51,3695,15,1
49,3291,5,0
44,3218,8,1
47,3027,7,0
30,1721,0,0
34,2337,0,0
28,1669,0,0
33,2221,8,0
18,1484,2,1
46,3528,27,1
44,2958,16,0
21,1029,0,0
47,3028,4,0
16,990,0,0
35,2457,17,1
42,3167,0,1
61,4143,3,0
57,4223,6,1
48,3182,31,0
53,3582,17,0
33,2200,8,0
45,3175,16,1
51,3446,3,0
44,3491,1,1
47,3196,1,0
21,1353,4,0
21,1427,2,0
16,924,0,0
24,1974,4,1
64,4174,28,0
40,2930,17,1
46,3442,29,1
30,1941,10,0
62,4173,14,0
45,3044,15,0
53,3144,16,0
42,3031,2,1
57,3847,9,0
49,3395,24,0
53,4068,8,1
64,4760,31,1
32,2189,14,0
52,3463,17,0
28,2121,9,1
28,1843,9,0
21,1144,3,0
50,3901,6,1
22,1197,6,0
25,1893,5,1
17,1095,1,0
52,3632,25,0
38,2563,20,0
28,1774,8,0
40,3022,10,1
17,1019,0,0
54,3685,28,0
48,3349,22,0
22,1677,6,1
39,2510,20,0
57,4148,34,1
48,3169,11,0
29,2077,10,1
30,2380,14,1
42,2944,11,1
35,2189,19,0
18,1153,1,0
60,4157,38,0
52,3909,11,1
17,1017,1,0
34,2492,0,1
42,3126,16,1
52,3246,22,0
19,1147,1,0
24,1718,0,1
31,2203,12,1
44,3121,24,1
44,3080,15,1
43,2772,24,0
63,4713,39,1
20,1366,1,0
47,3416,12,1
41,2745,15,0
63,4590,19,1
18,1776,1,1
54,3830,5,1
59,3934,10,0
30,2311,13,1
21,1406,5,0
25,1602,3,0
37,2486,6,0
44,3205,22,1
32,1955,9,0
28,2253,2,1
22,1561,4,1
58,4020,33,0
50,3372,34,0
33,2447,13,1
61,3885,36,0
34,2008,6,0
26,2046,8,1
47,3105,0,0
60,4217,44,1
38,2957,7,1
24,1406,2,0
16,870,0,0
32,2084,6,0
49,3318,23,0
44,3548,18,1
49,3441,30,1
24,1519,7,0
43,2949,3,0
34,2367,12,0
16,1220,0,1
63,4591,19,1
29,2134,7,1
17,1567,0,1
62,4419,6,1
47,3340,4,1
18,1090,0,0
22,1647,2,1
54,3575,26,0
62,4315,37,0
23,1828,7,1
17,1272,0,1
23,1682,4,1
41,2835,25,0
34,2464,17,1
41,2662,0,0
56,3909,25,0
40,2553,13,0
26,1599,3,0
59,4232,34,1
24,1827,0,1
20,1382,4,0
23,1474,5,0
45,3327,6,1
38,2923,6,1
30,2046,6,0
43,3123,12,1
36,2162,17,0
25,1601,9,0
46,3164,16,0
58,3616,11,0
29,1712,4,0
53,3411,6,0
29,1575,0,0
26,2012,7,1
24,1456,7,0
36,2460,10,0
36,2242,17,0
61,4348,13,1
44,3264,3,1
32,2342,14,1
30,1776,4,0
62,4396,21,1
48,3349,1,0
19,1315,3,0
30,2136,1,1
39,2865,7,1
49,3315,24,0
48,3328,31,0
29,2394,12,1
28,2198,1,1
21,1886,0,1
59,4129,16,0
24,1568,2,0
44,3264,6,1
30,2287,10,1
33,2359,8,1
37,2502,12,0
60,4084,36,0
39,2812,6,1
37,2687,4,1
39,2496,9,0
62,4152,31,0
36,2678,13,1
22,1734,1,1
20,1437,1,1
52,3753,9,1
37,2323,3,0
47,3257,1,0
23,1720,3,1
19,1309,3,0
41,2960,24,1
50,3419,9,0
62,4478,37,1
39,2895,9,1
22,1831,3,1
33,2326,6,1
47,3230,10,0
44,3343,0,1
56,3976,28,1
39,3088,17,1
50,3657,8,1
22,1614,3,1
31,2478,14,1
27,1865,1,0
40,2840,10,1
33,2241,15,0
44,2799,6,0
23,1982,5,1
49,3158,12,0
54,3648,31,0
34,2338,5,0
30,2094,6,0
20,1350,0,0
62,4377,24,1
17,1212,1,1
29,2125,6,1
58,3823,12,0
49,3242,33,0
28,2044,4,1
49,3253,25,0
63,4454,3,1
49,3073,0,0
53,3995,19,1
33,2202,5,0
47,3423,13,1
29,1864,0,0
44,3077,26,0
65,4530,31,0
28,2057,7,1
24,1724,0,1
41,2966,21,1
24,1176,1,0
48,3506,7,1
56,3937,17,1
61,4269,37,0
58,3814,10,0
41,3077,5,1
17,1383,1,1
37,2534,21,0
53,4048,5,1
58,4257,27,1
55,3718,16,0
46,3472,6,1
32,2300,10,1
58,4402,26,1
16,1127,0,1
21,1325,2,0
41,2820,11,0
22,1819,5,1
48,3604,23,1
48,3525,11,1
51,3535,14,0
32,2374,2,1
62,4252,38,0
62,4319,12,0
62,3998,26,0
20,1637,3,1
55,4004,4,1
17,1366,0,1
62,4387,7,1
57,3946,22,0
53,3446,17,0
26,1848,0,1
44,3441,21,1
47,3014,13,0
39,2937,0,1
61,4290,1,1
40,2651,4,0
48,3434,6,1
28,2306,4,1
56,3946,17,1
36,2593,13,1
33,1850,6,0
29,2127,5,1
25,1621,1,0
59,3858,32,0
28,1971,11,1
50,3092,29,0
49,3487,17,1
28,1731,4,0
54,4004,36,1
41,2663,12,0
20,1508,0,1
41,2862,0,0
18,1321,2,1
56,4183,11,1
27,1897,8,1
55,3744,30,0
30,1860,5,0
37,2726,19,1
62,4250,19,0
35,2081,13,0
59,4152,22,1
39,2992,7,1
61,3989,1,0
41,3002,6,1
48,3610,4,1
44,3028,24,0
29,2026,9,0
40,2665,24,0
46,3386,0,1
16,1203,0,1
61,4239,3,0
35,2130,4,0
28,1726,5,0
65,4854,44,1
27,1524,0,0
64,4542,20,1
59,4020,17,0
20,1653,0,1
38,2595,16,0
65,4579,13,1
57,4103,18,1
45,3238,5,1
62,4543,10,1
59,3875,42,0
23,1487,3,0
17,1044,1,0
50,3759,26,1
46,2884,29,0
24,1620,8,0
31,2170,5,1
20,1497,3,1
30,2023,4,0
23,1434,7,0
63,4529,14,1
43,3113,20,1
25,2053,5,1
55,3833,28,0
27,2127,4,1
53,3655,11,0
43,3182,1,1
65,4480,6,0
33,2175,9,0
44,3117,0,1
35,2808,15,1
29,1937,9,0
22,1812,1,1
20,1575,3,1
62,4431,37,1
50,3773,26,1
39,2956,18,1
20,1186,4,0
63,4692,0,1
28,2068,1,1
58,4005,29,0
37,2926,21,1
34,2335,12,0
45,3285,21,1
55,3627,15,0
33,2103,15,0
43,3090,19,1
33,2735,16,1
48,3478,21,1
27,1863,7,0
18,1047,0,0
56,3994,12,1
32,2653,6,1
57,4199,1,1
46,3123,9,0
38,2666,6,1
25,1928,2,1
31,2303,1,1
17,1201,0,1
21,1376,5,0
30,2372,2,1
40,2698,23,0
65,4594,26,1
16,874,0,0
48,3182,7,0
57,4048,4,1
58,3799,35,0
37,2658,6,1
20,1163,1,0
60,4306,0,1
42,2758,2,0
45,3118,0,0
47,3210,6,0
21,1090,3,0
26,1654,2,0
56,4164,21,1
65,4863,27,1
37,2770,1,1
32,2327,10,1
51,3604,20,1
26,1962,0,1
22,1266,5,0
49,3616,3,1
22,1795,3,1
57,3948,14,0
62,4460,15,1
55,3425,9,0
48,3304,10,0
25,1838,1,1
34,2417,17,1
65,4612,49,1
65,4868,26,1
44,3057,21,0
60,4292,26,1
61,4489,36,1
60,4002,17,0
50,3134,7,0
64,4306,15,0
55,3859,4,1
24,2167,1,1
57,4218,18,1
22,2113,3,1
56,4389,8,1
46,3331,21,1
42,2734,18,0
29,2141,7,1
46,3259,25,1
29,1716,7,0
19,1084,3,0
58,4176,28,1
20,1279,3,0
57,4229,19,1
55,3910,2,1
30,2201,12,1
50,3519,7,1
23,1394,4,0
48,2899,25,0
51,3652,4,1
42,3108,19,1
50,3151,28,0
43,3149,12,1
62,4264,36,0
43,3040,12,1
38,2730,7,1
19,1277,3,0
25,1856,9,1
54,3589,34,0
39,3015,5,1
35,2733,9,1
44,2976,3,0
31,2081,7,0
38,2803,1,1
61,4206,40,0
17,1463,1,1
62,4430,19,1
29,1979,8,0
49,3349,31,0
58,4161,40,1
25,1572,6,0
30,2065,8,0
57,4255,24,1
17,1350,1,1
53,3365,0,0
59,4004,39,0
28,2646,8,1
53,3425,32,0
62,4058,28,0
29,1915,5,0
22,1121,2,0
23,1656,5,1
55,3882,7,1
21,1465,2,0
45,3534,28,1
43,2939,26,0
45,3173,29,1
49,3744,25,1
27,2098,4,1
58,4133,29,1
62,4603,36,1
62,4532,32,1
23,1719,4,1
32,1908,16,0
30,2495,9,1
62,4060,33,0
57,4044,12,1
48,2915,17,0
38,2752,20,1
34,1981,7,0
41,2878,22,1
21,1606,1,1
38,2820,6,1
43,3229,2,1
25,1609,9,0
44,2954,10,0
35,2393,12,0
54,4054,5,1
44,3232,25,1
42,3238,2,1
27,2012,1,1
24,1788,8,1
46,3564,21,1
61,4369,6,1
44,3377,12,1
43,2956,6,0
35,2319,4,0
19,1244,3,0
27,1713,10,0
48,3147,1,0
60,4079,35,0
22,1812,4,1
19,1485,2,1
51,3452,20,0
23,2005,6,1
33,2180,15,0
29,2135,10,1
61,4713,3,1
60,4060,31,0
44,3054,19,0
24,1444,5,0
19,1328,1,0
30,1876,10,0
40,2666,7,0
46,3394,20,1
64,4345,26,0
39,3200,20,1
17,1312,0,1
63,4100,43,0
30,1562,4,0
55,3981,5,1
58,3631,5,0
22,1673,5,1
24,1772,2,1
17,1332,1,1
37,2578,13,0
55,3898,22,1
16,955,0,0
29,2052,0,1
55,3904,3,1
40,2711,17,0
24,1806,8,1
24,1584,3,0
41,2767,15,0
55,3772,25,0
40,3085,11,1
65,4316,47,0
54,3712,18,0
49,3502,2,1
22,1541,0,1
38,2730,22,1
63,4532,33,1
24,1492,0,0
56,4139,34,1
43,2857,24,0
45,3081,28,0
38,2961,16,1
39,2603,2,0
25,1808,7,1
31,2042,1,0
56,4127,10,1
30,2115,13,1
53,4005,24,1
27,1935,6,1
16,785,0,0
17,1190,0,1
65,4687,12,1
44,3001,3,0
56,3852,9,0
58,3956,27,0
27,1795,9,0
39,2727,18,0
39,2719,7,0
53,3788,23,1
24,1910,4,1
31,2025,12,0
52,3714,17,1
50,3096,12,0
19,1245,1,0
52,3674,2,1
23,1612,1,1
42,3381,9,1
63,4655,29,1
37,2379,2,0
60,4337,10,1
36,2494,5,0
52,3807,4,1
20,1600,2,1
19,1309,3,0
16,1066,0,0
46,3144,6,0
60,4229,30,1
55,3675,20,0
41,3016,18,1
45,3091,10,0
37,2376,5,0
40,2652,17,0
25,1841,2,1
36,2321,4,0
30,2265,8,1
31,2094,2,0
22,1490,5,0
38,2517,15,0
24,1852,6,1
26,1546,10,0
53,3817,25,1
59,4118,36,0
18,1236,2,0
24,1909,0,1
16,1071,0,0
59,4349,43,1
47,3248,19,0
19,1093,1,0
61,4356,41,1
32,2284,8,1
39,2460,9,0
30,2043,4,0
33,2514,7,1
48,3193,24,0
41,2882,12,1
62,4053,23,0
22,1431,1,0
41,2780,24,0
21,1361,0,0
42,2856,9,0
30,2191,7,1
25,1737,1,0
26,1931,4,1
47,3224,13,0
53,3553,14,0
27,1997,0,1
48,3249,28,0
24,1891,2,1
50,3384,34,0
31,2359,4,1
45,3030,20,0
60,4121,4,0
57,4219,12,1
39,2426,7,0
62,4493,40,1
25,2010,6,1
53,3366,19,0
52,3451,34,0
65,4638,22,1
42,2804,14,0
43,2951,22,0
64,4737,25,1
53,3757,23,1
34,2339,18,0
26,1591,9,0
28,1759,1,0
50,3626,26,1
53,3608,24,0
21,1584,1,1
53,3722,2,1
20,1273,1,0
64,4556,48,1
64,4286,16,0
50,3479,17,0
60,4157,6,0
33,2200,16,0
43,2940,10,0
65,4680,2,1
34,2573,9,1
59,4015,10,0
43,2744,19,0
51,3579,2,1
18,1273,0,1
45,3112,27,0
52,3800,21,1
46,3286,22,1
54,4274,38,1
63,4444,35,1
29,2197,11,1
33,2482,16,1
62,4320,17,0
55,3904,30,1
44,2885,2,0
39,2758,8,1
62,4090,21,0
62,4091,19,0
31,2091,0,0
20,1299,3,0
48,3521,9,1
32,2129,5,0
44,3204,20,1
25,1629,4,0
22,1248,4,0
26,1976,1,1
57,4137,22,1
60,3871,34,0
48,2987,0,0
64,4454,46,0
52,3800,21,1
58,4001,35,0
51,3491,10,0
25,1580,3,0
17,832,1,0
39,2932,9,1
50,3477,8,0
38,2818,15,1
44,3403,12,1
53,3966,30,1
28,2253,11,1
19,1115,1,0
23,1722,7,1
53,3467,27,0
32,2401,1,1
32,2094,13,0
39,2690,11,0
57,4046,4,1
36,2871,16,1
32,2367,11,1
52,3910,13,1
61,4335,12,1
48,3412,16,1
49,3415,17,0
36,2641,18,1
31,2176,3,1
34,2243,14,0
23,1598,1,0
60,4273,30,1
20,1470,1,1
54,3419,38,0
57,4128,17,1
26,1649,7,0
45,2975,24,0
39,2848,1,1
40,2983,6,1
26,2045,2,1
53,3598,14,0
30,2035,12,0
38,2678,20,1
51,3335,21,0
23,1493,1,0
45,2905,3,0
32,2511,0,1
37,2502,5,0
36,2506,18,0
44,3234,6,1
36,2316,6,0
25,1443,4,0
35,2197,6,0
16,1379,0,1
37,2303,4,0
16,1029,0,0
31,2438,9,1
42,2867,5,0
62,4339,16,0
48,3002,4,0
46,3144,5,0
63,4554,28,1
23,1823,7,1
63,4481,1,1
24,1696,0,1
21,1561,3,1
32,2032,11,0
18,1504,2,1
28,1997,11,1
44,3420,19,1
41,3206,23,1
29,1874,13,0
55,4174,1,1
55,3873,12,1
24,1498,6,0
56,3953,36,1
31,2104,2,0
26,1729,9,0
39,2928,15,1
21,1637,2,1
32,2095,10,0
23,1774,5,1
48,3206,11,0
64,4987,46,1
59,4213,10,1
18,1214,2,0
18,1137,0,0
56,4372,26,1
19,1004,1,0
31,2477,14,1
21,1291,5,0
36,2435,19,0
25,2008,5,1
23,1681,7,1
54,4157,6,1
46,2869,18,0
23,1537,1,0
21,1418,1,0
17,1458,0,1
17,1385,1,1
41,2959,14,1
26,2210,0,1
23,1555,5,0
31,2133,10,0
64,4448,30,0
58,3877,4,0
43,3182,2,1
25,1630,2,0
41,2880,4,1
26,1678,10,0
43,2948,13,0
38,2654,12,0
44,2971,21,0
27,2035,10,1
33,2471,3,1
40,2726,1,0
51,3673,4,1
43,2906,13,0
52,3688,2,1
21,1547,3,1
37,2472,6,0
30,2163,9,1
64,4498,43,1
27,1669,4,0
45,3199,11,1
19,1357,0,1
61,4234,3,0
56,3859,31,0
58,4625,31,1
39,2366,8,0
17,1049,0,0
59,4061,10,0
49,3211,9,0
61,4649,21,1
26,1556,10,0
58,3769,6,0
37,2802,17,1
34,2325,16,0
16,1246,0,1
34,2488,12,1
57,3984,9,0
36,2841,18,1
46,3085,30,0
55,3971,28,1
61,4299,4,1
33,2689,16,1
18,1403,1,1
29,1770,5,0
25,1628,2,0
61,4720,1,1
26,1864,8,1
41,2776,10,0
65,4525,41,0
44,3381,0,1
50,3407,9,0
47,3143,4,0
28,1859,0,0
61,4406,44,1
61,4446,2,1
46,3506,30,1
20,960,1,0
24,1660,7,0
57,3474,17,0
32,2049,12,0
56,3811,0,0
52,3712,29,1
47,3148,27,0
21,1761,5,1
64,3938,35,0
18,1366,2,1
23,1476,7,0
48,3182,12,0
52,3714,19,1
58,4042,30,0
41,3094,8,1
19,1105,0,0
40,2962,5,1
38,2758,20,1
48,3262,5,0
29,2078,9,1
50,3285,3,0
51,3683,28,1
43,2904,16,0
56,4080,8,1
18,1542,0,1
49,3180,33,0
26,1480,3,0
40,2932,12,1
58,4041,23,0
24,1434,0,0
55,3682,16,0
16,1369,0,1
50,3658,16,1
19,1580,3,1
19,1458,1,1
49,3463,26,1
21,1327,1,0
49,2930,3,0
47,3241,29,0
60,4373,24,1
55,4067,39,1
57,3874,31,0
36,2724,20,1
17,1175,1,0
33,2094,3,0
52,3616,33,0
51,3910,7,1
16,1027,0,0
32,2212,14,0
43,2754,1,0
16,950,0,0
37,2537,5,0
39,2778,10,1
25,1580,7,0
60,4222,41,1
31,2058,14,0
31,1853,3,0
58,4186,24,1
41,2854,8,0
59,4031,0,0
34,2538,10,1
35,2340,5,0
29,1744,2,0
45,3011,15,0
16,1112,0,0
50,3552,0,1
45,3495,6,1
28,1536,8,0
50,3869,34,1
49,3553,1,1
30,2389,5,1
18,1518,2,1
41,2844,9,0
27,1915,2,1
36,2589,3,1
28,2239,5,1
33,2331,2,1
34,2371,1,0
50,3275,11,0
40,2995,17,1
37,2227,6,0
45,2902,7,0
52,3598,12,0
25,1552,9,0
62,4275,17,0
58,4308,1,1
45,2711,3,0
51,3694,5,1
62,4732,22,1
39,2750,4,1
25,1793,8,1
48,3190,7,0
20,1361,2,0
45,2777,15,0
52,4153,21,1
58,4080,30,1
60,4421,27,1
21,1364,1,0
45,3216,20,1
55,3828,4,0
56,3705,34,0
59,4189,17,1
53,3803,22,1
31,1939,14,0
27,2029,3,1
24,1515,2,0
61,4147,7,0
49,3510,29,1
48,3021,31,0
47,3162,12,0
25,1746,7,0
32,2198,16,0
18,1237,0,0
42,3182,15,1
61,4113,41,0
49,3554,7,1
36,3050,17,1
42,2919,19,0
25,1623,6,0
37,2130,21,0
39,2400,8,0
41,2680,16,0
34,1935,3,0
18,1143,0,0
54,3831,32,1
61,4247,13,0
21,1489,4,1
63,4304,24,0
56,4281,14,1
55,3979,12,1
49,3334,22,0
65,4424,23,0
17,1143,0,0
52,3628,8,0
65,4400,22,0
28,1815,10,0
56,3553,25,0
50,3482,30,0
42,2806,24,0
32,2077,0,0
40,2979,20,1
37,2397,14,0
23,1560,1,0
31,2073,2,0
52,3500,23,0
51,3452,10,0
21,1572,4,1
54,4065,32,1
44,2859,12,0
54,4239,30,1
49,3338,12,0
51,3966,22,1
25,1733,2,0
53,3774,10,1
37,2709,13,1
64,4382,2,0
21,1319,4,0
39,2760,10,1
18,1304,1,1
43,3160,17,1
28,1845,9,0
38,2752,12,1
26,1698,1,0
35,2685,5,1
27,1513,7,0
34,2436,8,1
42,2645,13,0
48,3358,6,0
28,1955,10,0
36,2485,5,0
23,1578,5,0
39,2540,1,0
61,4603,2,1
55,4429,8,1
44,3232,6,1
45,2898,24,0
62,4546,4,1
56,3851,28,0
37,2604,9,1
39,2674,20,0
24,1494,8,0
22,1615,5,1
31,2387,3,1
20,1471,4,1
43,3147,17,1
34,2215,17,0
47,3348,22,1
31,2502,14,1
49,3312,21,0
27,1607,10,0
48,3323,22,0
46,3304,22,1
39,3161,2,1
38,2617,10,0
18,1087,1,0
32,2461,4,1
30,1853,9,0
41,3138,24,1
58,3974,1,0
63,4631,41,1
49,3536,13,1
48,3472,9,1
48,3636,19,1
25,1689,8,0
42,3245,2,1
65,4301,23,0
26,1866,10,1
26,1613,6,0
48,3710,9,1
50,3269,18,0
50,3317,7,0
28,1694,3,0
27,1881,3,0
44,3311,5,1
53,3606,24,0
27,1832,10,0
36,2749,11,1
60,3981,17,0
60,4110,37,0
47,3467,6,1
56,3850,28,0
48,3541,19,1
53,3784,5,1
23,1548,4,0
44,2821,2,0
50,3475,11,0
50,3698,5,1
55,3684,25,0
38,2515,12,0
26,1944,9,1
30,1935,6,0
40,2986,6,1
23,1439,3,0
65,4312,37,0
19,1022,1,0
58,3866,20,0
34,2332,4,0
42,2731,18,0
58,3829,26,0
58,4135,31,1
37,2315,0,0
50,3638,12,1
19,1240,2,0
40,2754,11,0
53,3550,22,0
32,2455,1,1
19,1379,3,1
52,3843,17,1
47,3133,21,0
52,3739,29,1
48,3262,6,0
30,1898,11,0
19,1636,2,1
21,1562,3,1
42,3211,0,1
17,1251,1,1
19,1022,1,0
24,1628,4,0
36,2338,0,0
19,911,3,0
64,4664,14,1
46,3316,19,1
20,1094,1,0
35,2625,11,1
42,2993,8,1
38,2563,10,0
61,4041,0,0
64,4840,17,1
31,2294,9,1
24,1795,4,1
23,1681,7,1
50,3239,22,0
43,3221,20,1
38,2686,6,1
20,1482,4,1
64,4482,37,1
23,1534,0,0
55,3702,13,0
26,1862,1,1
35,2355,5,0
20,1199,0,0
23,1605,4,0
33,2544,12,1
46,3432,20,1
62,4180,19,0
25,1494,9,0
39,2856,20,1
54,3432,14,0
62,4286,15,0
38,2359,22,0
53,3880,21,1
63,4477,2,1
26,2110,5,1
46,3698,7,1
54,3746,37,0
42,2624,10,0
23,1806,4,1
43,2604,13,0
20,1488,2,1
42,2899,23,0
42,3099,22,1
42,2877,16,0
32,2299,0,1
46,3566,23,1
21,1726,1,1
43,2444,8,0
47,3155,3,0
47,3214,6,0
26,1534,1,0
32,2488,9,1
16,779,0,0
63,4443,0,1
49,3347,23,0
40,2800,19,1
37,2486,17,0
64,4585,33,1
58,4156,42,1
31,2393,14,1
41,2424,14,0
36,2507,10,0
17,1088,0,0
55,3656,25,0
60,4227,8,1
53,3751,12,1
44,3334,16,1
39,2957,8,1
44,3523,13,1
44,3005,15,0
57,4285,14,1
59,3946,21,0
65,4620,47,1
29,2158,2,1
37,2545,2,0
25,1547,9,0
56,3775,2,0
27,2104,11,1
37,2276,4,0
39,2937,7,1
24,1461,5,0
64,4150,48,0
35,2156,16,0
22,1220,5,0
38,2591,18,0
58,4306,27,1
47,3238,0,0
29,2036,4,1
57,4055,23,1
58,4362,24,1
56,4120,34,1
34,2462,4,1
49,3311,19,0
22,1750,4,1
64,4636,47,1
37,2841,17,1
60,4372,27,1
32,2107,8,0
48,3352,17,0
45,2888,20,0
29,1880,9,0
19,1400,2,1
43,3173,3,1
22,1461,1,0
49,3615,8,1
30,2406,2,1
55,3649,22,0
18,1656,2,1
48,3662,31,1
55,3628,19,0
18,1171,0,0
16,1113,0,0
36,2834,16,1
61,3902,40,0
30,2517,1,1
50,3837,7,1
40,2870,12,1
56,4146,39,1
26,1495,4,0
23,1706,5,1
33,2216,13,0
24,1875,3,1
54,3584,36,0
62,4270,13,0
51,3623,13,1
52,3507,0,0
55,3915,12,1
62,4302,13,0
39,2913,15,1
35,2302,13,0
49,3757,15,1
57,4010,29,1
63,4601,31,1
34,1956,5,0
49,3725,5,1
29,1966,4,0
41,2638,19,0
65,4540,30,0
18,1270,1,1
46,3560,25,1
29,2363,2,1
38,2659,8,0
24,1673,6,0
56,3723,37,0
61,4179,23,0
33,2051,11,0
45,3080,22,0
52,3494,19,0
54,3611,9,0
52,3279,33,0
41,2679,13,0
27,1765,5,0
30,2173,6,1
52,3811,7,1
36,2534,8,1
63,4338,22,0
23,1666,4,1
28,2213,8,1
27,1801,5,0
51,3678,34,1
26,1863,9,1
55,3969,17,1
32,2196,14,0
63,4164,37,0
54,3759,22,0
50,3671,34,1
39,2695,2,0
26,1643,9,0
55,4097,11,1
17,1502,1,1
41,2743,25,0
58,3698,10,0
31,2237,1,1
27,2169,10,1
52,3728,2,1
22,1555,0,1
48,3341,1,0
38,2963,7,1
44,3173,27,1
23,1772,5,1
61,4047,21,0
45,2949,21,0
36,2410,7,0
51,3663,3,1
61,4293,38,1
36,2511,19,0
41,2706,21,0
49,3803,15,1
34,2269,8,0
56,3737,30,0
46,2954,13,0
56,3916,15,0
54,3825,26,1
27,2291,4,1
25,1781,9,1
44,2886,23,0
20,1393,4,0
50,3587,32,1
30,1896,6,0
38,2600,0,0
40,2494,15,0
23,1604,3,0
29,1797,1,0
41,3041,17,1
52,3625,23,0
34,2324,10,0
26,1780,1,0
17,786,1,0
62,4477,34,1
61,4229,9,0
41,3054,13,1
53,3797,5,1
35,2633,16,1
35,2469,12,1
27,1882,0,0
54,3787,12,1
31,2232,8,1
26,1626,0,0
20,1358,1,0
27,1721,6,0
41,3022,2,1
26,1718,10,0
27,2111,2,1
57,4021,35,1
59,4386,12,1
60,3878,21,0
39,2660,3,0
58,4151,9,1
25,1628,7,0
28,1929,2,0
50,3700,13,1
40,3099,2,1
55,3842,1,0
52,3817,12,1
47,3196,22,0
30,1809,13,0
56,4174,30,1
33,2466,14,1
54,3764,6,0
33,2070,3,0
38,2894,20,1
31,2176,14,1
54,3384,8,0
21,1375,2,0
42,2713,12,0
62,4032,31,0
45,3455,23,1
56,4206,0,1
48,3147,4,0
20,1269,3,0
20,1442,3,1
23,1695,1,1
35,2078,14,0
59,4188,5,1
56,3585,18,0
61,4490,36,1
36,2288,9,0
39,2628,12,0
55,4113,36,1
50,3257,33,0
59,3925,35,0
33,2607,12,1
60,4339,3,1
22,1580,0,1
54,3775,24,0
30,1940,8,0
62,4351,41,1
46,3384,18,1
37,2819,11,1
36,2142,1,0
39,2837,10,1
44,3066,14,0
39,2519,5,0
30,2179,13,1
58,4050,26,0
37,2685,11,1
40,2729,1,0
31,2426,6,1
23,1679,4,1
23,1387,3,0
25,2108,9,1
54,4075,7,1
46,3157,3,0
48,3240,23,0
30,2344,10,1
44,3072,26,0
43,2579,2,0
37,2840,16,1
59,4089,25,0
24,1608,2,0
26,1610,1,0
22,1662,6,1
34,2300,3,0
19,1396,2,1
58,4033,39,0
53,3162,5,0
30,2065,0,0
44,2768,14,0
50,3278,33,0
32,2002,14,0
58,3754,41,0
56,3863,5,0
28,1742,10,0
19,1125,0,0
61,4368,16,1
25,1744,6,0
54,3909,33,1
65,4990,33,1
36,2269,2,0
40,2783,7,0
42,2753,17,0
22,1521,6,0
62,4143,32,0
18,1332,2,1
36,2392,15,0
35,2494,12,1
58,4040,32,0
59,4386,36,1
49,3280,33,0
30,2362,4,1
39,2899,3,1
53,3912,33,1
32,2248,8,1
54,4139,23,1
65,4237,42,0
42,2748,6,0
41,2741,7,0
51,3874,0,1
38,2578,18,0
38,2542,15,0
64,4347,7,0
16,1285,0,1
40,2717,15,0
40,2721,17,0
59,4231,22,1
20,1674,2,1
58,4217,16,1
46,3122,30,0
23,1697,6,1
24,1593,5,0
28,2295,1,1
18,1048,2,0
40,3152,19,1
35,2201,17,0
51,3676,1,1
65,4283,44,0
36,2618,16,1
45,3092,21,0
58,4133,15,1
19,1296,1,0
63,4270,2,0
21,1415,4,0
48,3219,20,0
16,1507,0,1
57,4459,31,1
26,1604,8,0
61,4181,6,0
56,3936,28,1
33,1689,8,0
29,2029,0,0
27,2193,2,1
47,3361,12,1
65,4278,42,0
41,3299,5,1
45,3325,13,1
31,1896,1,0
61,4584,44,1
63,4183,44,0
48,3187,19,0
61,4455,7,1
25,1532,8,0
26,1873,0,1
50,3956,4,1
45,3277,28,1
55,4033,16,1
35,2512,6,1
65,4537,42,0
52,3408,20,0
26,1940,3,1
33,2025,11,0
23,1953,2,1
26,1998,10,1
44,3045,22,0
55,3922,22,1
61,4330,11,1
44,3041,15,0
26,1881,10,1
22,1777,3,1
21,1073,4,0
43,2829,19,0
29,2141,3,1
36,2348,1,0
60,4179,6,0
22,1385,5,0
45,3141,25,0
55,4142,7,1
17,1177,0,0
44,2975,16,0
43,2999,5,0
46,3574,11,1
47,3912,16,1
28,1998,4,1
58,4000,12,0
41,2817,5,0
55,3729,4,0
57,4213,40,1
33,2522,17,1
57,4245,20,1
54,3832,28,1
63,4440,21,1
48,3450,17,1
42,2947,6,1
37,2411,11,0
17,1256,1,1
37,2507,21,0
35,1970,12,0
43,3207,10,1
33,2489,15,1
16,816,0,0
17,875,1,0
18,844,2,0
50,3002,12,0
50,3592,27,1
63,4071,37,0
42,3010,20,1
21,1309,5,0
17,1363,1,1
18,1494,1,1
57,3970,14,0
21,1419,5,0
63,4165,11,0
20,1449,3,1
39,2614,21,0
64,4446,10,0
51,3635,7,1
28,1969,8,1
54,3530,23,0
50,3223,0,0
29,2098,5,1
40,2815,11,1
57,4066,27,1
42,2698,20,0
20,1567,2,1
36,2565,16,1
55,3525,1,0
